scope,layer,route,threshold_id,kind,criterion,epsilon,output_equivalence,observations,mean,median,p90,p99,minimum,maximum,pool_size,mean_pool_fraction,no_active_fraction
layer,7,k,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,310.74452694752176,317,363,385,94,442,4600,0.06755315803206995,0.0
layer,8,k,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,305.4846700699603,312,360,385,101,446,4600,0.06640971088477399,0.0
layer,9,k,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,374.95010626120643,376,443,487,123,596,4600,0.08151089266547966,0.0
layer,10,k,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,291.4387789366675,294,346,371,106,425,4600,0.0633562562905799,0.0
layer,11,k,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,307.48868988537396,309,361,389,111,455,4600,0.06684536736638565,0.0
layer,12,k,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,338.3849905545594,338,390,428,144,519,4600,0.07356195446838248,0.0
layer,13,k,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,664.4048592989562,672,766,834,150,995,4600,0.14443583897803397,0.0
layer,14,k,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,733.5566159107645,737,815,884,113,1086,4600,0.15946882954581837,0.0
layer,15,k,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,661.6712457375448,677,755,818,128,1038,4600,0.14384157516033583,0.0
layer,16,k,admission_weight_gt_1e-06,approximate,admission_weight > 1e-06,1e-06,not asserted; approximate pruning threshold,9994240,503.3536786188845,514,584,637,136,814,4600,0.10942471274323576,0.0
